,Corruption,Country,Dystopia_Residual,Freedom,GDP_per_Capita,Generosity,Happiness_Score,Life_Expectancy,Social_Support,year,Region
277,0.0470490865409374,Peru,2.2072694301605202,0.45000287890434293,1.0352252721786501,0.126819714903831,5.71500015258789,0.6301661133766171,1.21877038478851,2017-01-01,Latin America and Caribbean
278,0.034,Peru,2.149999999999999,0.53,0.934,0.092,5.662999999999999,0.674,1.249,2018-01-01,Latin America and Caribbean
279,0.027000000000000003,Peru,2.0439999999999996,0.455,0.96,0.083,5.697,0.8540000000000001,1.274,2019-01-01,Latin America and Caribbean
280,0.1909,Belarus,2.1309,0.37938,1.0319200000000002,0.11045999999999999,5.813,0.7360800000000001,1.23289,2015-01-01,Central and Eastern Europe
281,0.17457,Belarus,2.3858200000000003,0.29091,1.1306200000000002,0.13942000000000002,5.8020000000000005,0.6310399999999999,1.04993,2016-01-01,Central and Eastern Europe
282,0.156313821673393,Belarus,1.72323298454285,0.295400261878967,1.15655755996704,0.15513750910759,5.5689997673034695,0.6377142667770389,1.4449452161788898,2017-01-01,Central and Eastern Europe
283,0.154,Belarus,1.6839999999999997,0.307,1.0390000000000001,0.10099999999999999,5.483,0.7,1.4980000000000002,2018-01-01,Central and Eastern Europe
284,0.142,Belarus,1.5309999999999997,0.235,1.067,0.094,5.3229999999999995,0.789,1.465,2019-01-01,Central and Eastern Europe
285,0.04212,Poland,1.86565,0.53122,1.12555,0.16759000000000002,5.791,0.77903,1.27948,2015-01-01,Central and Eastern Europe
286,0.055,Poland,2.20035,0.4519,1.24585,0.14443,5.835,0.69058,1.04685,2016-01-01,Central and Eastern Europe
287,0.0593078061938286,Poland,1.7977228164672898,0.520342111587524,1.29178786277771,0.158465966582298,5.97300004959106,0.699475347995758,1.44571197032928,2017-01-01,Central and Eastern Europe
288,0.064,Poland,1.9999999999999991,0.546,1.176,0.10800000000000001,6.122999999999999,0.7809999999999999,1.4480000000000002,2018-01-01,Central and Eastern Europe
289,0.05,Poland,2.0040000000000004,0.483,1.206,0.11699999999999999,6.182,0.884,1.4380000000000002,2019-01-01,Central and Eastern Europe
290,0.10500999999999999,Malaysia,1.8854099999999998,0.5302399999999999,1.12486,0.33075,5.77,0.7239399999999999,1.07023,2015-01-01,Southeastern Asia
291,0.09081,Malaysia,2.35384,0.39031,1.25142,0.41473999999999994,6.005,0.62366,0.88025,2016-01-01,Southeastern Asia
292,0.0656007081270218,Malaysia,2.00444889068604,0.40226498246192893,1.29121541976929,0.416608929634094,6.08400011062622,0.618784427642822,1.28464603424072,2017-01-01,Southeastern Asia
